uk_file_context,program_id,url
uk.at,KAF005,/nts.uk.at.web/view/kaf/005
uk.at,KAF005,/nts.uk.at.web/view/kaf/005
uk.at,KAF005,/nts.uk.at.web/view/kaf/005
uk.at,KAF009,/nts.uk.at.web/view/kaf/009
uk.at,KAF004,/nts.uk.at.web/view/kaf/004
uk.at,KAF002,/nts.uk.at.web/view/kaf/002
uk.at,KAF005,/nts.uk.at.web/view/kaf/005
uk.at,KAF006,/nts.uk.at.web/view/kaf/006
uk.at,KAF007,/nts.uk.at.web/view/kaf/007
uk.at,KAF010,/nts.uk.at.web/view/kaf/010
uk.at,KAF011,/nts.uk.at.web/view/kaf/011
uk.at,KAF008,/nts.uk.at.web/view/kaf/008
uk.at,KAF012,/nts.uk.at.web/view/kaf/012
uk.at,KAF020,/nts.uk.at.web/view/kaf/020
uk.at,KAF002,/nts.uk.at.web/view/kaf/002
uk.at,KAF000,/nts.uk.at.web/view/kaf/000
uk.mobile,KAFS05,/nts.uk.mobile.web/kaf/s05/a
uk.mobile,KAFS05,/nts.uk.mobile.web/kaf/s05/a
uk.mobile,KAFS05,/nts.uk.mobile.web/kaf/s05/a
uk.mobile,KAFS06,/nts.uk.mobile.web/kaf/s06/a
uk.mobile,KAFS07,/nts.uk.mobile.web/kaf/s07/a
uk.mobile,KAFS08,/nts.uk.mobile.web/kaf/s08/a
uk.mobile,KAFS09,/nts.uk.mobile.web/kaf/s09/a
uk.mobile,KAFS10,/nts.uk.mobile.web/kaf/s10/a
uk.mobile,KAFS02,/nts.uk.mobile.web/kaf/s02/a
uk.mobile,KAFS04,/nts.uk.mobile.web/kaf/s04/a
uk.mobile,KAFS11,/nts.uk.mobile.web/kaf/s11/a
uk.mobile,KAFS12,/nts.uk.mobile.web/kaf/s12/a
uk.mobile,KAFS20,/nts.uk.mobile.web/kaf/s20/a
uk.mobile,KAFS05,/nts.uk.mobile.web/kaf/s05/a
